record_id,source_table,institution,department,year,project_title,nlp_text,clean_text,detected_language,topic_id
107,grants,Indian Institute of Science Bangalore,Math,2026,Fault-Tolerant Logical Operators in Quantum Error-Correcting Codes,Fault-Tolerant Logical Operators in Quantum Error-Correcting Codes,fault tolerant logical operators quantum error correcting codes,en,0
108,grants,Indian Institute of Science Bangalore,Math,2026,Analytic and arithmetic aspects of Automorphic forms and L-functions,Analytic and arithmetic aspects of Automorphic forms and L-functions,analytic arithmetic aspect automorphic form function,en,0
109,grants,Indian Institute of Science Bangalore,Math,2026,"Critical phenomena in percolation models, random graphs, and random trees","Critical phenomena in percolation models, random graphs, and random trees",critical phenomenon percolation model random graph random tree,en,0
110,grants,Indian Institute of Science Bangalore,Math,2026,Toeplitz operators on Hardy and Bergman spaces over domains,Toeplitz operators on Hardy and Bergman spaces over domains,toeplitz operator hardy bergman space domain,en,0
111,grants,Indian Institute of Science Bangalore,EE,2026,"High-Current, Compact Power Supplies for AI-centric GPU Computing","High-Current, Compact Power Supplies for AI-centric GPU Computing",high current compact power supplies ai centric gpu computing,en,0
112,grants,Indian Institute of Science Bangalore,ECE,2026,"Efficient Sensing, Communication, and Learning for Multi-Modal Artificial Intelligence of Things","Efficient Sensing, Communication, and Learning for Multi-Modal Artificial Intelligence of Things",efficient sensing communication learning multi modal artificial intelligence thing,en,0
113,grants,Indian Institute of Science Bangalore,ME,2026,Indigenous development of twin cold finger driven GM cryocooler based Hydrogen / Helium / Nitrogen / Biogas liquefier,Indigenous development of twin cold finger driven GM cryocooler based Hydrogen / Helium / Nitrogen / Biogas liquefier,indigenous development twin cold finger drive gm cryocooler base hydrogen helium nitrogen biogas liquefi,en,0
114,grants,Indian Institute of Science Bangalore,CSA,2026,Mathematical techniques and computational methods for hybrid quantum-HPC accelerated large-scale ab initio material modeling,Mathematical techniques and computational methods for hybrid quantum-HPC accelerated large-scale ab initio material modeling,mathematical technique computational method hybrid quantum hpc accelerate large scale ab initio material modeling,en,0
115,grants,Indian Institute of Science Bangalore,Math,2026,Can Social Learning Offset Bounded Rationality?,Can Social Learning Offset Bounded Rationality?,social learning offset bounded rationality,en,0
116,grants,International Institute of Information Technology Bangalore,Math,2026,"hp-Adaptive Galerkin Framework for Structured Population Dynamics: Theory, Error Estimates, and Applications to Age-Space PDEs","hp-Adaptive Galerkin Framework for Structured Population Dynamics: Theory, Error Estimates, and Applications to Age-Space PDEs",hp adaptive galerkin framework structured population dynamics theory error estimates applications age space pde,en,0
117,grants,B.M.S. College of Engineering,EC,2019,Virtual Automation Lab with Augmented/Virtual reality,Virtual Automation Lab with Augmented/Virtual reality,virtual automation lab augmented virtual reality,en,0
118,grants,M.S. Ramaiah Institute of Technology,CSE,2019,Deep Learning for the efficient Numerical Solution of Differential Algebraic Equations,Deep Learning for the efficient Numerical Solution of Differential Algebraic Equations,deep learning efficient numerical solution differential algebraic equations,en,0
119,grants,M.S. Ramaiah Institute of Technology,EEE,2019,Non-Invasive technique of Nailfold capillaroscopy for diagnosis of Type â 2 diabetes Mellitus,Non-Invasive technique of Nailfold capillaroscopy for diagnosis of Type â 2 diabetes Mellitus,non invasive technique nailfold capillaroscopy diagnosis type â diabetes mellitus,en,-1
120,grants,M.S. Ramaiah Institute of Technology,ECE,2019,Performance characterization of flexible wearable Antennas for Dynamic IoT Connectivity,Performance characterization of flexible wearable Antennas for Dynamic IoT Connectivity,performance characterization flexible wearable antennas dynamic iot connectivity,en,0
121,grants,M.S. Ramaiah Institute of Technology,CSE,2019,Anomaly Detection Using Machine Intelligence Techniques For Mobile Computing Networks,Anomaly Detection Using Machine Intelligence Techniques For Mobile Computing Networks,anomaly detection machine intelligence techniques mobile computing networks,en,0
122,grants,M.S. Ramaiah Institute of Technology,CSE,2019,Smart Reporter,Smart Reporter,smart reporter,en,0
123,grants,M.S. Ramaiah Institute of Technology,CSE,2019,Short Term Training Program,Short Term Training Program,short term training program,en,0
124,grants,M.S. Ramaiah Institute of Technology,CSE,2019,Short Term Training Program,Short Term Training Program,short term training program,en,0
125,grants,M.S. Ramaiah Institute of Technology,ECE,2019,Design and Development of Virtual Comprehensive Neonatal monitoring system,Design and Development of Virtual Comprehensive Neonatal monitoring system,design development virtual comprehensive neonatal monitoring system,en,0
126,grants,M.S. Ramaiah Institute of Technology,ECE,2019,Centre of Learning for setting up Microwave and Antenna Lab,Centre of Learning for setting up Microwave and Antenna Lab,centre learning set microwave antenna lab,en,0
127,grants,M.S. Ramaiah Institute of Technology,ME,2019,"Study, Analysis and Optimization of workplace design parameters to improve worker efficiency through Taguchiâs Orthogonal Array Approach","Study, Analysis and Optimization of workplace design parameters to improve worker efficiency through Taguchiâs Orthogonal Array Approach",study analysis optimization workplace design parameter improve worker efficiency taguchiâs orthogonal array approach,en,0
128,grants,M.S. Ramaiah Institute of Technology,ECE,2019,Modernization of Wireless Communication Lab,Modernization of Wireless Communication Lab,modernization wireless communication lab,en,0
129,grants,Dayananda Sagar College of Engineering,ECE,2019,"Advanced Manufacturing technology (AMT)/

“Design and Development of Smart Robotic Based Magnetically Impelled Arc Butt welding  equipment for joining Ferrous and Non Ferrous Tubes",Advanced Manufacturing technology (AMT)/ “Design and Development of Smart Robotic Based Magnetically Impelled Arc Butt welding equipment for joining Ferrous and Non Ferrous Tubes,advanced manufacturing technology amt)/ design development smart robotic based magnetically impelled arc butt welding equipment join ferrous non ferrous tubes,en,0
130,grants,B.M.S. College of Engineering,EC,2020,"Fabrication and characterization on thin films for sensors, NV memory and waveguide application","Fabrication and characterization on thin films for sensors, NV memory and waveguide application",fabrication characterization thin film sensor nv memory waveguide application,en,0
131,grants,B.M.S. College of Engineering,EC,2020,Awarded Teachers Associateship for Research Excellence (TARE),Awarded Teachers Associateship for Research Excellence (TARE),awarded teachers associateship research excellence tare,en,0
132,grants,B.M.S. College of Engineering,EC,2020,IOT enabled smart sanitizer vending machine,IOT enabled smart sanitizer vending machine,iot enable smart sanitizer vend machine,en,0
133,grants,B.M.S. College of Engineering,EE,2020,Investigations on electronic and optoelectronic properties of transition metal doped chalcogenide materials suitable for phase change memory (PCM) applications,Investigations on electronic and optoelectronic properties of transition metal doped chalcogenide materials suitable for phase change memory (PCM) applications,investigation electronic optoelectronic property transition metal dope chalcogenide material suitable phase change memory pcm application,en,0
134,grants,B.M.S. College of Engineering,EEE,2020,"Development of a Novel, cost effective Wind/pv Micro grid for tribal community living","Development of a Novel, cost effective Wind/pv Micro grid for tribal community living",development novel cost effective wind pv micro grid tribal community live,en,0
135,grants,B.M.S. College of Engineering,EEE,2020,"Development of a Novel, cost effective Wind/pv Micro grid for tribal community living","Development of a Novel, cost effective Wind/pv Micro grid for tribal community living",development novel cost effective wind pv micro grid tribal community live,en,0
136,grants,B.M.S. College of Engineering,EEE,2020,"Energy conservation and efficiency, Karnataka Renewable Energy Development Limited","Energy conservation and efficiency, Karnataka Renewable Energy Development Limited",energy conservation efficiency karnataka renewable energy development limited,en,0
137,grants,B.M.S. College of Engineering,EI,2020,AICTE Training and learning (ATAL) Academy Programme (IMMERSIVE VIRTUAL REALITY),AICTE Training and learning (ATAL) Academy Programme (IMMERSIVE VIRTUAL REALITY),aicte training learning atal academy programme immersive virtual reality,en,0
138,grants,B.M.S. College of Engineering,IS,2020,5G Technology,5G Technology,technology,en,0
139,grants,B.M.S. College of Engineering,ML,2020,Are retinal vascular abnormalities endophenotype in Schizophrenia : an examination in first degree relatives,Are retinal vascular abnormalities endophenotype in Schizophrenia : an examination in first degree relatives,retinal vascular abnormality endophenotype schizophrenia examination degree relative,en,0
140,grants,B.M.S. College of Engineering,ML,2020,Jaivika tyajya vibhajaka - a smart system to handle covid-19 biomedical waste,Jaivika tyajya vibhajaka - a smart system to handle covid-19 biomedical waste,jaivika tyajya vibhajaka smart system handle covid-19 biomedical waste,en,0
141,grants,B.M.S. College of Engineering,ML,2020,Non-contact fever and respiration monitoring system for mass screening,Non-contact fever and respiration monitoring system for mass screening,non contact fever respiration monitoring system mass screening,en,-1
142,grants,B.M.S. College of Engineering,PHY,2020,Air sea coupling of Indian ocean and its climatic responses,Air sea coupling of Indian ocean and its climatic responses,air sea coupling indian ocean climatic response,en,1
143,grants,B.M.S. College of Engineering,PHY,2020,Combined studies of materials discovery with machine learning and experimental for the development of high performance piezoelectric materials,Combined studies of materials discovery with machine learning and experimental for the development of high performance piezoelectric materials,combined study material discovery machine learning experimental development high performance piezoelectric material,en,0
144,grants,M.S. Ramaiah Institute of Technology,CSE,2020,Recurrent Neural Network based Sentiment analysis approach to diagnose Mental Disorders using scanned patientâs Diary images,Recurrent Neural Network based Sentiment analysis approach to diagnose Mental Disorders using scanned patientâs Diary images,recurrent neural network base sentiment analysis approach diagnose mental disorders scan patientâs diary image,en,0
145,grants,M.S. Ramaiah Institute of Technology,CSE,2020,STTP-AICTE-AQIS- INTELLIGENT EDGE COMPUTING TECHNIQUE FOR DIVERSE APPLICATIONS(Grant),STTP-AICTE-AQIS- INTELLIGENT EDGE COMPUTING TECHNIQUE FOR DIVERSE APPLICATIONS(Grant),sttp aicte aqis- intelligent edge computing technique diverse applications(grant,en,0
146,grants,M.S. Ramaiah Institute of Technology,CSE,2020,Technology Development and Automation of Hydroponic Farms in Urban areas using enhanced precision farming by incorporating loT and Cyber Physical System,Technology Development and Automation of Hydroponic Farms in Urban areas using enhanced precision farming by incorporating loT and Cyber Physical System,technology development automation hydroponic farms urban area enhanced precision farming incorporate lot cyber physical system,en,0
147,grants,M.S. Ramaiah Institute of Technology,ECE,2020,Predictive lung deposition factor using low cost sensors to measure pollutant concentration and individual physiological properties,Predictive lung deposition factor using low cost sensors to measure pollutant concentration and individual physiological properties,predictive lung deposition factor low cost sensor measure pollutant concentration individual physiological property,en,0
148,grants,M.S. Ramaiah Institute of Technology,CE,2020,Study on environmentally friendly concrete- Alkali activated concrete,Study on environmentally friendly concrete- Alkali activated concrete,study environmentally friendly concrete- alkali activate concrete,en,0
149,grants,M.S. Ramaiah Institute of Technology,CSE,2020,Web-crawler to scrape data,Web-crawler to scrape data,web crawler scrape datum,en,1
150,grants,M.S. Ramaiah Institute of Technology,CSE,2020,Technology Development and Automation of Hydroponic Farms in Urban areas using enhanced precision farming by incorporating loT and Cyber Physical System.,Technology Development and Automation of Hydroponic Farms in Urban areas using enhanced precision farming by incorporating loT and Cyber Physical System.,technology development automation hydroponic farms urban area enhanced precision farming incorporate lot cyber physical system,en,0
151,grants,M.S. Ramaiah Institute of Technology,ME,2020,Study of fatigue crack growth of Al 6061 - T6 welds obtained by gas metal arc welding technique,Study of fatigue crack growth of Al 6061 - T6 welds obtained by gas metal arc welding technique,study fatigue crack growth al 6061 t6 weld obtain gas metal arc weld technique,en,0
152,grants,M.S. Ramaiah Institute of Technology,CSE,2020,STTP-AICTE-AQIS-Intelligent Edge Computing Technique For Diverse Applications(Grant),STTP-AICTE-AQIS-Intelligent Edge Computing Technique For Diverse Applications(Grant),sttp aicte aqis intelligent edge computing technique diverse applications(grant,en,0
153,grants,M.S. Ramaiah Institute of Technology,CSE,2020,Augmenting Kannada Educational Video with Indian Sign Language animes for assisting hearing impaired students,Augmenting Kannada Educational Video with Indian Sign Language animes for assisting hearing impaired students,augment kannada educational video indian sign language anime assist hear impair student,en,0
154,grants,M.S. Ramaiah Institute of Technology,ME,2020,Experimental lnvestigation of low Velocity lmpact and Damage Studies of Hybrid Composite Inter / Intra layered with Glass Carbon Kevlar fibers for aerospace application.,Experimental lnvestigation of low Velocity lmpact and Damage Studies of Hybrid Composite Inter / Intra layered with Glass Carbon Kevlar fibers for aerospace application.,experimental lnvestigation low velocity lmpact damage studies hybrid composite inter intra layer glass carbon kevlar fiber aerospace application,en,0
155,grants,M.S. Ramaiah Institute of Technology,CSE,2020,Selenium WebDriver using Python,Selenium WebDriver using Python,selenium webdriver python,en,-1
156,grants,M.S. Ramaiah Institute of Technology,CSE,2020,IEEE-CIS Local industry interactions,IEEE-CIS Local industry interactions,ieee cis local industry interaction,en,0
157,grants,M.S. Ramaiah Institute of Technology,CSE,2020,IEEE-CIS High school outreach program,IEEE-CIS High school outreach program,ieee cis high school outreach program,en,0
158,grants,M.S. Ramaiah Institute of Technology,CSE,2020,Selenium WebDriver using Python,Selenium WebDriver using Python,selenium webdriver python,en,-1
159,grants,M.S. Ramaiah Institute of Technology,ECE,2020,Drowsiness detection for Automotive Drivers,Drowsiness detection for Automotive Drivers,drowsiness detection automotive drivers,en,0
160,grants,M.S. Ramaiah Institute of Technology,CSE,2020,Action Bot,Action Bot,action bot,en,0
161,grants,M.S. Ramaiah Institute of Technology,Physics,2020,"KSCST student project titled "" Design and development of polymer nano composite for photonic applications""","KSCST student project titled "" Design and development of polymer nano composite for photonic applications""",kscst student project title design development polymer nano composite photonic application,en,0
162,grants,M.S. Ramaiah Institute of Technology,CE,2020,Determining the Structural Efficiency of Cost Effective Composite Retrofits Applied onto Distressed RC Beams to Enhance Their Load Carrying Capacities,Determining the Structural Efficiency of Cost Effective Composite Retrofits Applied onto Distressed RC Beams to Enhance Their Load Carrying Capacities,determine structural efficiency cost effective composite retrofits apply distressed rc beams enhance load carry capacities,en,0
163,grants,M.S. Ramaiah Institute of Technology,CE,2020,Feasibility study for implementation of water recycling equipment at individual houses with specific reference to Kolar and Chikkaballapur districts,Feasibility study for implementation of water recycling equipment at individual houses with specific reference to Kolar and Chikkaballapur districts,feasibility study implementation water recycling equipment individual house specific reference kolar chikkaballapur district,en,0
164,grants,M.S. Ramaiah Institute of Technology,CE,2020,A feasibility study on Smart Card ticketing services in public transport with reference to Bengarulu City,A feasibility study on Smart Card ticketing services in public transport with reference to Bengarulu City,feasibility study smart card ticketing service public transport reference bengarulu city,en,0
165,grants,M.S. Ramaiah Institute of Technology,CE,2020,Supply Chain for Collection and Distribution of used cooking oil (UCO) to Bio Diesel production units in Bengarulu City,Supply Chain for Collection and Distribution of used cooking oil (UCO) to Bio Diesel production units in Bengarulu City,supply chain collection distribution cook oil uco bio diesel production unit bengarulu city,en,0
166,grants,CMR Institute of Technology,ECE,2020,Innovative Application of Optical Sensing for Heavy Metal Detection in Water,Innovative Application of Optical Sensing for Heavy Metal Detection in Water,innovative application optical sensing heavy metal detection water,en,0
167,grants,CMR Institute of Technology,CSE,2020,Vahini,Vahini,vahini,en,0
168,grants,CMR Institute of Technology,CSE,2020,"Atal FDP on SCILAB and XCOS - FOSS
alternatives for MATLAB
and SIMULINK",Atal FDP on SCILAB and XCOS - FOSS alternatives for MATLAB and SIMULINK,atal fdp scilab xcos foss alternative matlab simulink,en,-1
169,grants,Indian Institute of Science Bangalore,ECE,2020,Electronic synapses based on two dimensional materials for neuromorphic computing,Electronic synapses based on two dimensional materials for neuromorphic computing,electronic synapsis base dimensional material neuromorphic computing,en,0
170,grants,R V College of Engineering,ME,2020,Design & development of ultrasonic assisted vacuum drying system for food,Design & development of ultrasonic assisted vacuum drying system for food,design development ultrasonic assist vacuum dry system food,en,0
171,grants,Indian Institute of Science Bangalore,CE,2020,Soluble lead redox flow battery: Cycleablity and impact of forced and concentration gradient driven natural convection,Soluble lead redox flow battery: Cycleablity and impact of forced and concentration gradient driven natural convection,soluble lead redox flow battery cycleablity impact forced concentration gradient drive natural convection,en,0
172,grants,R V College of Engineering,CE,2020,Carbon based nano composite mixed matrix membranes for desalination,Carbon based nano composite mixed matrix membranes for desalination,carbon base nano composite mixed matrix membrane desalination,en,0
173,grants,Indian Institute of Science Bangalore,EE,2020,Hybrid energy storage system consisting of li-ion batteries & ultracapcitors,Hybrid energy storage system consisting of li-ion batteries & ultracapcitors,hybrid energy storage system consist li ion battery ultracapcitor,en,0
174,grants,Indian Institute of Science Bangalore,ECE,2020,Quantum transport equation based next generation compact models,Quantum transport equation based next generation compact models,quantum transport equation base generation compact model,en,0
175,grants,Indian Institute of Science Bangalore,CE,2020,Applications of cold plasma activated water for hygiene purposes through experiments and Mathematical modeling,Applications of cold plasma activated water for hygiene purposes through experiments and Mathematical modeling,application cold plasma activate water hygiene purpose experiment mathematical modeling,en,1
176,grants,Indian Institute of Science Bangalore,ME,2020,"Flow of granular materials through a vertical channel: Comparison between experiments, DEM simulations and predictions of continuum models","Flow of granular materials through a vertical channel: Comparison between experiments, DEM simulations and predictions of continuum models",flow granular material vertical channel comparison experiment dem simulation prediction continuum model,en,0
177,grants,Indian Institute of Science Bangalore,ME,2020,Soft-wall turbulence,Soft-wall turbulence,soft wall turbulence,en,0
178,grants,Indian Institute of Science Bangalore,ME,2020,Microdroplet analysis and quantification of biomolecules,Microdroplet analysis and quantification of biomolecules,microdroplet analysis quantification biomolecule,en,0
179,grants,Indian Institute of Science Bangalore,ME,2020,Vortex ring and bubble interaction: Towards understanding drag reduction in turbulent boundary layers using air bubble injection,Vortex ring and bubble interaction: Towards understanding drag reduction in turbulent boundary layers using air bubble injection,vortex ring bubble interaction understand drag reduction turbulent boundary layer air bubble injection,en,0
180,grants,Indian Institute of Science Bangalore,ME,2020,Modeling and simulation of large strain mesoscale plastic flow for deformation processing of structural components,Modeling and simulation of large strain mesoscale plastic flow for deformation processing of structural components,modeling simulation large strain mesoscale plastic flow deformation processing structural component,en,0
181,grants,Indian Institute of Science Bangalore,ME,2020,Microfluidic platforms for investigating flow induced structure formation in particle laden polymeric flows,Microfluidic platforms for investigating flow induced structure formation in particle laden polymeric flows,microfluidic platform investigate flow induced structure formation particle laden polymeric flow,en,0
182,grants,Indian Institute of Science Bangalore,CE,2020,The mechanics of severe plastic deformation in porous soft rocks,The mechanics of severe plastic deformation in porous soft rocks,mechanic severe plastic deformation porous soft rock,en,0
183,grants,Indian Institute of Science Bangalore,ME,2020,Enhancement of thermal performance during quenching using surface modification,Enhancement of thermal performance during quenching using surface modification,enhancement thermal performance quenching surface modification,en,0
184,grants,Indian Institute of Science Bangalore,EE,2020,Deep learning methods for improving low-dose computed tomography perfusion imaging,Deep learning methods for improving low-dose computed tomography perfusion imaging,deep learning method improve low dose compute tomography perfusion imaging,en,0
185,grants,International Institute of Information Technology Bangalore,CSE,2020,Microarchitectural techniques to design a secure processor,Microarchitectural techniques to design a secure processor,microarchitectural technique design secure processor,en,0
186,grants,International Institute of Information Technology Bangalore,CSE,2020,Topological data analysis: Tools for multivariate,Topological data analysis: Tools for multivariate,topological datum analysis tool multivariate,en,0
187,grants,Indian Institute of Science Bangalore,ME,2020,High entropy alloy nanoparticles and coatings,High entropy alloy nanoparticles and coatings,high entropy alloy nanoparticle coating,en,0
188,grants,Indian Institute of Science Bangalore,ME,2020,Microfluidic approach to study mechanical and fluid dynamic changes caused by biochemical stimuli leading to endothelial dysfunction,Microfluidic approach to study mechanical and fluid dynamic changes caused by biochemical stimuli leading to endothelial dysfunction,microfluidic approach study mechanical fluid dynamic change cause biochemical stimulus lead endothelial dysfunction,en,0
189,grants,Indian Institute of Science Bangalore,ECE,2020,Development and hardware implementation of a neuromorphic audio-visual saliency model and deep learning architecture for automated surveillance systems,Development and hardware implementation of a neuromorphic audio-visual saliency model and deep learning architecture for automated surveillance systems,development hardware implementation neuromorphic audio visual saliency model deep learn architecture automate surveillance system,en,0
190,grants,Indian Institute of Science Bangalore,CSA,2020,Fundamental Algorithms based on convex programming and spectral methods,Fundamental Algorithms based on convex programming and spectral methods,fundamental algorithms base convex programming spectral method,en,0
191,grants,Indian Institute of Science Bangalore,ME,2020,Manipulation of wall turbulence by external forcing for investigating mechanisms causing surface friction drag on transport vehicles,Manipulation of wall turbulence by external forcing for investigating mechanisms causing surface friction drag on transport vehicles,manipulation wall turbulence external forcing investigate mechanism cause surface friction drag transport vehicle,en,0
192,grants,Indian Institute of Science Bangalore,ME,2020,Simulation of ship wake for application in Sonar Signal modeling,Simulation of ship wake for application in Sonar Signal modeling,simulation ship wake application sonar signal modeling,en,0
193,grants,Indian Institute of Science Bangalore,ME,2020,Searching for new strengthening nano dispersions & nano precipitates to develop an advanced light weight aluminium alloys for high temperature applications,Searching for new strengthening nano dispersions & nano precipitates to develop an advanced light weight aluminium alloys for high temperature applications,search new strengthening nano dispersion nano precipitate develop advanced light weight aluminium alloy high temperature application,en,0
194,grants,Indian Institute of Science Bangalore,ME,2020,Study of Corona ignition system in lean combustion engines,Study of Corona ignition system in lean combustion engines,study corona ignition system lean combustion engine,en,0
195,grants,B.M.S. College of Engineering,ME,2020,Optimization of heat & mass exchanger used in the indirect evaporative cooling system working on Maisotsenko cycle,Optimization of heat & mass exchanger used in the indirect evaporative cooling system working on Maisotsenko cycle,optimization heat mass exchanger indirect evaporative cool system work maisotsenko cycle,en,0
196,grants,Indian Institute of Science Bangalore,EE,2020,An integrated approach to development & environment in the power sector,An integrated approach to development & environment in the power sector,integrated approach development environment power sector,en,0
197,grants,R V College of Engineering,ECE,2020,Development of compact C-band dual shaped graded index lens - array antenna,Development of compact C-band dual shaped graded index lens - array antenna,development compact band dual shape grade index lens array antenna,en,0
198,grants,M.S. Ramaiah Institute of Technology,EEE,2020,Development of prosumer driven integrated Smart grid,Development of prosumer driven integrated Smart grid,development prosumer drive integrate smart grid,en,0
199,grants,Indian Institute of Science Bangalore,CE,2020,National Centre for Clean Coal Research & Development,National Centre for Clean Coal Research & Development,national centre clean coal research development,en,0
200,grants,R V College of Engineering,CE,2020,Development of geoploymer composites for enahnaced mechanical properties & to subside air pollution by the addition of nano particles with emphasis on achieving content uniformity,Development of geoploymer composites for enahnaced mechanical properties & to subside air pollution by the addition of nano particles with emphasis on achieving content uniformity,development geoploymer composite enahnaced mechanical property subside air pollution addition nano particle emphasis achieve content uniformity,en,0
201,grants,Indian Institute of Science Bangalore,ECE,2020,Detection of plant pathogenic fungi sing handheld PCR,Detection of plant pathogenic fungi sing handheld PCR,detection plant pathogenic fungus sing handheld pcr,en,0
202,grants,Indian Institute of Science Bangalore,ECE,2020,Scaling up the fabrication of nanomaterials with higher degree of complexity,Scaling up the fabrication of nanomaterials with higher degree of complexity,scale fabrication nanomaterial high degree complexity,en,0
203,grants,Indian Institute of Science Bangalore,CE,2020,Analysis of performance of inclined plate anchors embedded in geosynthetics reinforced soils for transmission tower foundations,Analysis of performance of inclined plate anchors embedded in geosynthetics reinforced soils for transmission tower foundations,analysis performance incline plate anchor embed geosynthetic reinforce soil transmission tower foundation,en,0
204,grants,CMR Institute of Technology,ISE,2020,National Conference on AI based machine Learning as a Services for Industries,National Conference on AI based machine Learning as a Services for Industries,national conference ai base machine learning services industry,en,0
205,grants,CMR Institute of Technology,EEE,2020,Power Utlities and Artificial Intelligence,Power Utlities and Artificial Intelligence,power utlities artificial intelligence,en,0
206,grants,B.M.S. College of Engineering,CSE,2021,Infrastructure for Development for Neurological Disorder using Brain Signal Computing,Infrastructure for Development for Neurological Disorder using Brain Signal Computing,infrastructure development neurological disorder brain signal computing,en,0
207,grants,B.M.S. College of Engineering,IS,2021,Artificial intelligence FDP,Artificial intelligence FDP,artificial intelligence fdp,en,0
208,grants,B.M.S. College of Engineering,ISE,2021,Machine Learning and Deep Learning with Python - FDP,Machine Learning and Deep Learning with Python - FDP,machine learning deep learning python fdp,en,0
209,grants,M.S. Ramaiah Institute of Technology,CSE,2021,SQL to Lucene Query Parser,SQL to Lucene Query Parser,sql lucene query parser,en,1
210,grants,M.S. Ramaiah Institute of Technology,CSE,2021,IEEE-STEM Ambassodar- Ideathon for School students,IEEE-STEM Ambassodar- Ideathon for School students,ieee stem ambassodar- ideathon school student,en,0
211,grants,M.S. Ramaiah Institute of Technology,ECE,2021,Development of AI based embedded system for prediction of preterm child birth during pregnancies,Development of AI based embedded system for prediction of preterm child birth during pregnancies,development ai base embed system prediction preterm child birth pregnancy,en,0
212,grants,M.S. Ramaiah Institute of Technology,CSE,2021,Development of prototype for detecting snakes in farm land using Edge computing algorithms,Development of prototype for detecting snakes in farm land using Edge computing algorithms,development prototype detect snake farm land edge computing algorithm,en,0
213,grants,M.S. Ramaiah Institute of Technology,CSE,2021,IEEE- Computer Society Inaguration of activities fund,IEEE- Computer Society Inaguration of activities fund,ieee- computer society inaguration activity fund,en,0
214,grants,M.S. Ramaiah Institute of Technology,CSE,2021,A Secure Lightweight distributed framework for auditing shared data of Smart applications using Fully Homomorphic Encryption in Cloud Storage,A Secure Lightweight distributed framework for auditing shared data of Smart applications using Fully Homomorphic Encryption in Cloud Storage,secure lightweight distribute framework auditing share datum smart application fully homomorphic encryption cloud storage,en,0
215,grants,M.S. Ramaiah Institute of Technology,CSE,2021,Violence Detection in Drone Surveillance Videos,Violence Detection in Drone Surveillance Videos,violence detection drone surveillance video,en,0
216,grants,M.S. Ramaiah Institute of Technology,ECE,2021,Customized Reconfigurable platform for Image/Video Compression based on Deep Learning Algorithm for Hyperspectral image,Customized Reconfigurable platform for Image/Video Compression based on Deep Learning Algorithm for Hyperspectral image,customized reconfigurable platform image video compression base deep learning algorithm hyperspectral image,en,0
217,grants,M.S. Ramaiah Institute of Technology,CSE,2021,Development of a Prototype for Detection of Snakes in Farmland using Edge Computing Algorithms,Development of a Prototype for Detection of Snakes in Farmland using Edge Computing Algorithms,development prototype detection snakes farmland edge computing algorithms,en,0
218,grants,M.S. Ramaiah Institute of Technology,CSE,2021,Lightweight Container-based Framework in Cloud Environment for Automated Online Assessment for Computer Science Courses,Lightweight Container-based Framework in Cloud Environment for Automated Online Assessment for Computer Science Courses,lightweight container base framework cloud environment automated online assessment computer science courses,en,0
219,grants,M.S. Ramaiah Institute of Technology,CSE,2021,Sign Language Translator for vocally challenged using Sensor based hand gesture Recognition(HGR),Sign Language Translator for vocally challenged using Sensor based hand gesture Recognition(HGR),sign language translator vocally challenge sensor base hand gesture recognition(hgr,en,0
220,grants,M.S. Ramaiah Institute of Technology,CSE,2021,FDP on âResearch Challenges in Atmospheric Sciences with a Computing Edgeâ.,FDP on âResearch Challenges in Atmospheric Sciences with a Computing Edgeâ.,fdp âresearch challenge atmospheric sciences computing edgeâ.,en,0
221,grants,M.S. Ramaiah Institute of Technology,CSE,2021,GOC- ICRITCSA 2022,GOC- ICRITCSA 2022,goc- icritcsa 2022,en,0
222,grants,M.S. Ramaiah Institute of Technology,CE,2021,Performance Evaluation of Retrofitted RC Beams that have undergone distress adopting low carbon emission RC Jackets.,Performance Evaluation of Retrofitted RC Beams that have undergone distress adopting low carbon emission RC Jackets.,performance evaluation retrofitted rc beams undergo distress adopt low carbon emission rc jacket,en,0
223,grants,M.S. Ramaiah Institute of Technology,CE,2021,Design and Development of 3 Axis 3D printing of sustainable concrete structures and characterization of affordable housing solutions,Design and Development of 3 Axis 3D printing of sustainable concrete structures and characterization of affordable housing solutions,design development axis 3d printing sustainable concrete structure characterization affordable housing solution,en,0
224,grants,M.S. Ramaiah Institute of Technology,ECE,2021,Enabling Functional Mobility through Advanced Gait Analysis and Virtual Reality,Enabling Functional Mobility through Advanced Gait Analysis and Virtual Reality,enable functional mobility advanced gait analysis virtual reality,en,0
225,grants,M.S. Ramaiah Institute of Technology,CE,2021,Experimental investigation and numerical validation of CFS builtup beams for residential structures,Experimental investigation and numerical validation of CFS builtup beams for residential structures,experimental investigation numerical validation cfs builtup beam residential structure,en,0
226,grants,M.S. Ramaiah Institute of Technology,ECE,2021,Braille Dot In- Cost effective braille dotted display for the deaf blind in India,Braille Dot In- Cost effective braille dotted display for the deaf blind in India,braille dot in- cost effective braille dot display deaf blind india,en,0
227,grants,M.S. Ramaiah Institute of Technology,CE,2021,"Sustainable and strengthening of low cost housing for Rural India""","Sustainable and strengthening of low cost housing for Rural India""",sustainable strengthening low cost housing rural india,en,0
