Topic,Count,Name,Representation,Representative_Docs,source
275,20,275_hydroxyapatite_bone_biotene_fibronectin,"['hydroxyapatite', 'bone', 'biotene', 'fibronectin', 'catla', 'biotite', 'bioactive', 'atomistic', 'fish', 'coating']","['silico study probe atomistic insight structural stability tensile property fe dope hydroxyapatite single crystal', 'silico study probe atomistic insight structural stability tensile property fe dope hydroxyapatite single crystal', 'review hydroxyapatite coating biomedical application experimental theoretical perspective']",publication
276,20,276_interpretable_fatigue_vickers_hardness,"['interpretable', 'fatigue', 'vickers', 'hardness', 'life', 'creep', 'ferritic', 'martensitic', 'predict', 'machine']","['highly interpretable machine learn framework prediction mechanical property nickel base superalloy', 'interpretable machine learning approach predict creep fatigue life ti alloy', 'interpretable machine learning approach predict creep fatigue life ti alloy']",publication
277,20,277_supercapacitor_graphene_dope_electrode,"['supercapacitor', 'graphene', 'dope', 'electrode', 'pss', 'pedot', 'nitrogen', 'symmetric', 'sno2', 'flexible']","['graphene oxide decorate sno2 quantum dot polypyrrole ternary composite symmetric supercapacitor application', 'retraction high performance flexible supercapacitor base secondary dope pedot pss graphene nanocomposite film large area solid state device', 'high performance flexible supercapacitor base secondary dope pedot pss graphene nanocomposite film large area solid state device']",publication
278,20,278_diabetes_diabetic_foot_facilitators,"['diabetes', 'diabetic', 'foot', 'facilitators', 'manisha', 'shivaram', 'joshi', 'sudha', 'umadevi', 'sectional']","['diabetes prediction machine learn tool', 'diabetes prediction artificial neural network', 'performance evaluation machine learning model diabetes prediction']",publication
279,20,279_pm_megacity_particulate_tropical,"['pm', 'megacity', 'particulate', 'tropical', 'bengaluru', 'aerosol', 'variability', 'india', 'aerosols', 'temporal']","['temporal variability pm 2.5 possible source tropical megacity bengaluru india environmental monitoring assessment 194(8 p.532', 'spatial temporal variability pm 2.5 pm 10 bc aerosols tropical megacity bengaluru', 'spatial temporal variability pm 2.5 pm 10 bc aerosols tropical megacity bengaluru india journal scientific research 15(2 2023']",publication
280,19,280_strain_stretchable_wearable_ecoflex,"['strain', 'stretchable', 'wearable', 'ecoflex', 'batteryless', 'flexible', 'implantable', 'sensor', 'inkjet', '137mmhg']","['wireless batteryless secure implantable system chip 1.37mmhg strain sense bandwidth reconfigurability cross tissue adaptation', 'correction flexible stretchable strain sensor fabricate inkjet printing silver nanowire ecoflex composite', 'flexible stretchable strain sensor fabricate inkjet printing silver nanowire ecoflex composite']",publication
281,19,281_forward_output_an_flyback,"['forward', 'output', 'an', 'flyback', 'converter', 'bhoopendra', 'nagashree', 'singh', 'mag', 'zeichen']","['design implementation single output high frequency forward converter mag amp space application zeichen journal issue 08 volume:10 authors madhura dr. a.n nagashree santhosh bhoopendra kumar singh', 'design implementation mag amp controlled dual output forward converter input voltage feed forward technique space applications ijert volume 14 issue 09 september 2025 authors rakshitha nayaka a.n. nagashree gautham vishal suriya santosh bhoopendra kumar singh', 'design implementation multiple output forward converter input voltage feed forward control space applications zeichen journal ugc care approve group ii journal volume issue issn 0932 4747 authors a.n nagashree suman bhoopendra kumar singh']",publication
282,19,282_otfs_modulation_diversity_ris,"['otfs', 'modulation', 'diversity', 'ris', 'receiving', 'aid', 'channels', 'uncoded', 'dispersive', 'multiuser']","['ris aided otfs index modulation', 'enhanced otfs channel modulation', 'approximation otfs modulation']",publication
283,19,283_attitude_twisting_spacecraft_actuator,"['attitude', 'twisting', 'spacecraft', 'actuator', 'heliquad', 'determination', 'complete', 'adaptive', 'super', 'orbit']","['spacecraft attitude determination landmark space object', 'attitude intelligent controller design heliquad complete failure actuator', 'efficient event base adaptive sliding mode control spacecraft attitude stabilization']",publication
284,19,284_camera_slam_lidar_monocular,"['camera', 'slam', 'lidar', 'monocular', 'vslam', 'autonomous', 'mapping', 'visual', 'vehicles', 'perception']","['novel monocular camera base modular reference generation autonomous vehicles', 'verification camera base autonomous systems', 'novel monocular camera obstacle perception algorithm real time assist autonomous vehicles']",publication
285,19,285_vitrimer_polypropylene_economy_upcycle,"['vitrimer', 'polypropylene', 'economy', 'upcycle', 'acrylonitrile', 'butadiene', 'entropic', 'styrene', 'crosslinker', 'upcycled']","['conformational preference dynamic crosslinker modulate closed loop circular economy polypropylene vitrimer', 'pioneer circular economy sustainable co upcycle polyethylene polypropylene waste dynamic vitrimer network', 'closed loop circular economy upcycled acrylonitrile butadiene styrene vitrimer']",publication
286,19,286_student_mining_course_prediction,"['student', 'mining', 'course', 'prediction', '0474', 'datamine', 'utsav', '9030', 'wum', 'chisquared']","['academic data automation pdf excel conversion student performance analysis heritage research journal issn 0474 9030 volume 72,issue pp21 24 author dr. seema patil manshi mahato utsav bose neha uma devi', 'machine learning model student performance prediction', 'student performance prediction ensemble technique']",publication
287,19,287_papr_reduction_ofdm_lossy,"['papr', 'reduction', 'ofdm', 'lossy', 'qpsk', 'slm', 'compande', 'cod', 'pts', 'ijeet']","['lossy source cod method papr reduction bpsk ofdm', 'digital circuit simulation study lossy source cod papr reduction', 'digital circuit simulation study lossy source cod papr reduction']",publication
288,19,288_avalanche_discharge_capacitive_electromagnetic,"['avalanche', 'discharge', 'capacitive', 'electromagnetic', 'electron', 'electrodynamics', 'conductors', 'excite', 'fields', 'nparameter']","['electromagnetic field single electron avalanche transmission line conductors', 'electromagnetic fields electron avalanche', 'electromagnetic fields electron avalanche']",publication
289,19,289_reinforcement_allocation_v2x_resource,"['reinforcement', 'allocation', 'v2x', 'resource', 'offloading', 'routing', 'carl', 'conetsi', 'vms', 'meta']","['hierarchical meta reinforcement learning uncertainty aware resource allocation v2x network', 'hierarchical meta reinforcement learning uncertainty aware resource allocation v2x network', 'deep reinforcement learning resource allocation wireless communication systems']",publication
290,19,290_ldpc_decoder_codes_bch,"['ldpc', 'decoder', 'codes', 'bch', 'hamming', 'code', 'cyclic', 'ecc', 'erasure', 'quasi']","['entanglement assisted quasi cyclic ldpc codes', 'enable high level design strategies high throughput low power nb ldpc decoder', 'survey high throughput non binary ldpc decoder asic fpga gpu architectures']",publication
291,19,291_hoc_ad_adhoc_routing,"['hoc', 'ad', 'adhoc', 'routing', 'multipath', 'manet', 'omnisteerable', 'rout', 'protocol', 'trusted']","['overview resource management wireless ad hoc network', 'adaptive technique wormhole attack detection manet quantize ad hoc demand multipath distance vector rout protocol', 'comprehensive study wireless ad hoc network']",publication
292,19,292_lightning_aircraft_leader_strike,"['lightning', 'aircraft', 'leader', 'strike', 'inception', 'tropical', 'tests', 'associate', 'injection', 'measurements']","['modeling bi polar leader inception propagation flying aircraft prior lightning strike', 'research lightning protection systems wind power plant', 'mode lightning attachment aircraft different stroke current relative position descend lightning leader']",publication
293,19,293_big_data_carebig_bigdata,"['big', 'data', 'carebig', 'bigdata', 'analytics', 'analytic', 'progressive', 'mapreduceenhance', 'medians', 'kleast']","['big data analytic future trend', 'drive sustainability big data analytics', 'computational intelligence big data analysis']",publication
294,19,294_coilgun_induction_projectile_projectiles,"['coilgun', 'induction', 'projectile', 'projectiles', 'launching', 'stage', 'multistage', 'sleeve', 'velocities', 'triggering']","['factor influence efficiency induction coilgun', 'computational studies induction coilgun', 'design development stage induction coilgun']",publication
295,19,295_music_recommendation_emotion_collaborative,"['music', 'recommendation', 'emotion', 'collaborative', 'drift', 'address', 'personalized', 'july2019', 'spotify', 'musicbot']","['music recommendation system content based approach', 'emotion base music recommendation system machine learning', 'music recommendation system']",publication
296,19,296_adoption_wheeler_electric_buyer,"['adoption', 'wheeler', 'electric', 'buyer', 'motivator', 'attitudes', 'india', 'affect', 'hailing', 'ride']","['drive adoption electric wheeler india investigation reason', 'motivator barrier widespread adoption electric wheeler india discrete choice analysis potential electric wheeler buyer', 'electric wheeler adoption india discrete choice analysis motivator barrier affect potential electric wheeler buyer']",publication
297,18,297_fashion_clothing_fitting_cloth,"['fashion', 'clothing', 'fitting', 'cloth', 'virtual', 'netb3', 'primate', 'fashionai', 'realism', 'correlates']","['fine grain visual attribute extraction fashion wear', 'fine grain fashion clothing image classification recommendation', 'comprehensive review ai fashion']",publication
298,18,298_underwater_sweep_acoustic_spread,"['underwater', 'sweep', 'acoustic', 'spread', 'symbol', 'communication', 'multiplexing', 'communications', 'division', 'carrier']","['design underwater acoustic channel model ofdm communication system', 'variational soft symbol decode sweep spread carrier based underwater acoustic communications', 'acoustic communication system underwater drone']",publication
299,18,299_klystron_cavity_reentrant_entrant,"['klystron', 'cavity', 'reentrant', 'entrant', 'cylindrical', 'rectangular', 'cauer', 'lpf', 'ferrule', 'extended']","['equivalent circuit analysis rectangular double reentrant cavity circular cylindrical ferrule klystron', 'post loaded rectangular reentrant cavity broadband multiple beam klystron', 'broadband rectangular reentrant cavity multiple beam klystron']",publication
300,18,300_crack_schallamach_fracture_conductor,"['crack', 'schallamach', 'fracture', 'conductor', 'rubber', 'healing', 'year', 'notched', 'nanoscale', 'metallic']","['velocity datum year schallamach wave rubber friction nanoscale fracture', 'force datum year schallamach wave rubber friction nanoscale fracture', 'year schallamach wave rubber friction nanoscale fracture']",publication
301,18,301_disease_heart_chronic_kidney,"['disease', 'heart', 'chronic', 'kidney', 'cardiovascular', 'prediction', 'xai', 'ensemble', 'diagnostic', 'metaphor']","['analysis diagnostic parameter heart disease prediction heart attack', 'comprehensive analysis technique predict heart disease', 'chronic kidney disease prediction']",publication
302,18,302_heusler_half_thermoelectric_highentropy,"['heusler', 'half', 'thermoelectric', 'highentropy', 'alloy', 'zr', '05', 'seebeck', 'entropy', 'fe']","['integrated principles experimental investigation thermoelectric transport zr ti half‐heusler‐type high entropy alloy', 'lower thermal conductivity thermoelectric ti2−xnicosnsb half heusler high entropy alloy', 'thermoelectric transport novel zr‐base half‐heusler high‐entropy alloy']",publication
303,18,303_interatomic_potentials_disordered_baco,"['interatomic', 'potentials', 'disordered', 'baco', 'rocksalt', 'learn', 'machine', 'construct', 'guided', 'conductivity']","['accelerate discovery disordered multi component solid state electrolyte machine learn interatomic potential', 'construct evaluating machine learn interatomic potentials li base disordered rocksalt', 'construct evaluate machine learn interatomic potential li base disordered rocksalt']",publication
304,18,304_saliency_salient_visual_object,"['saliency', 'salient', 'visual', 'object', 'proto', 'impressions', 'shot', 'segmentation', 'quicksal', 'unavailable']","['review deep learning techniques saliency detection', 'neuromorphic proto object base dynamic visual saliency model hybrid fpga implementation', 'live demonstration real time implementation proto object base visual saliency model']",publication
305,18,305_amplifier_ghz_rf_mmic,"['amplifier', 'ghz', 'rf', 'mmic', 'noise', 'db', 'millimeter', '148', 'feed', 'forward']","['design dual band low noise amplifier 1.1ghz 2.4ghz', 'design high gain low noise amplifier rf receiver systems', 'design class rf power amplifier band']",publication
306,18,306_codes_muller_reed_rll,"['codes', 'muller', 'reed', 'rll', 'constrained', 'enumerators', 'coding', 'error', 'channels', 'input']","['estimate weight enumerators reed muller codes sampling', 'cod schemes base reed muller codes ∞)-rll input constrained channels', 'performance reed muller codes ∞)-rll input constrained bms channels']",publication
307,18,307_nanopore_translocation_nanopores_bury,"['nanopore', 'translocation', 'nanopores', 'bury', 'readout', 'dna', 'electrometry', 'bps2025', 'microtomy', 'anthrax']","['effect single nanoparticle nanopore interaction strength ionic current modulation', 'dna translocation hybrid bilayer nanopore', 'nanopore translocation measurement method review']",publication
308,18,308_ugmrt_cm_21_foreground,"['ugmrt', 'cm', '21', 'foreground', 'reionization', 'epoch', 'gridde', 'calibration', 'correlate', 'observation']","['calibration requirement epoch reionization 21 cm signal observation ii analytical estimation bias variance time correlate residual gain', 'calibration requirement epoch reionization 21 cm signal observation i. effect time correlate gain', 'calibration requirement epoch reionization 21 cm signal observation iii bias variance ugmrt elais n1 field power spectrum']",publication
309,18,309_poly3_methylthiophene_hexylthiophene_poly34,"['poly3', 'methylthiophene', 'hexylthiophene', 'poly34', 'doping', 'lampert', 'device', 'ethylenedioxythiophene', 'polymorph', 'electroactive']","['anomalous current voltage impedance behaviour dope poly methylthiophene device', 'field temperature dependent charge transport mechanism dope poly(3 methylthiophene device', 'effect synthesis temperature charge transport property poly(3 methylthiophene device']",publication
310,18,310_motor_induction_bldc_speed,"['motor', 'induction', 'bldc', 'speed', 'drives', 'control', 'vector', 'slip', 'drive', 'wheel']","['design speed control bldc motor emf method', 'slip gain estimation scheme transient vector estimator base high performance control induction motor drives', 'particle swarm optimization base output feedback control vector control induction motor drives consider core loss resistance']",publication
311,18,311_brittle_peridynamic_damage_peridynamics,"['brittle', 'peridynamic', 'damage', 'peridynamics', 'gauge', 'solids', 'plasticity', 'field', 'visco', 'thermomechanic']","['peridynamics implementation gauge theory brittle damage solids applications', 'phase field base peridynamic implementation model blast induce fracture brittle solid', 'gauge theory brittle damage solid peridynamic implementation']",publication
312,17,312_qca_ase_automata_cellular,"['qca', 'ase', 'automata', 'cellular', 'random', 'number', 'true', 'dot', 'generator', 'pseudo']","['design qca based stage pseudo random number generator', 'design qca base stage pseudo random number generator', 'design basic logic gates quantum dot cellular automata qca']",publication
313,17,313_waveguide_lnoi_waveguides_nonlinear,"['waveguide', 'lnoi', 'waveguides', 'nonlinear', 'cylindrical', 'pole', 'rigid', 'interaction', 'excitable', 'sinusoidally']","['finite amplitude modal interaction weakly nonlinear structural acoustic cylindrical waveguide', 'pole free second order nonlinear waveguides lnoi bound state continuum', 'pole free second order nonlinear waveguides lnoi bound state continuum']",publication
314,17,314_amplifier_operational_amplifiers_stage,"['amplifier', 'operational', 'amplifiers', 'stage', 'gain', 'nm', 'chopper', 'pong', 'bicmos', 'predistortion']","['high gain low power operational amplifier utilize bicmos class ab output stage', 'high performance cmo operational amplifier', 'high gain low power operational amplifier class ab output stage']",publication
315,17,315_implant_dental_titanium_gicceramic,"['implant', 'dental', 'titanium', 'gicceramic', 'osseointegration', 'nanocrystallization', 'ionomer', 'additively', 'biomedical', 'ti6al4v']","['surface engineering additively manufacture titanium alloy enhance clinical performance biomedical implant review recent development', 'investigation mechanical property titanium reinforce glass ionomer cement gic)-ceramic composite suitable dental implant application', 'investigation mechanical property titanium reinforce glass ionomer cement gic)-ceramic composite suitable dental implant application']",publication
316,17,316_pv_dc_converter_inverter,"['pv', 'dc', 'converter', 'inverter', 'fuzzy', 'rsgeetha', 'logic', 'standalone', 'controller', 'mathematical']","['mathematical model analysis pv converter inverter system', 'pv integrate dc dc converter inverter topology grid tie standalone system', 'design adaptive fuzzy logic controller solar pv application high step dc dc converter']",publication
317,17,317_reflect_intelligent_reconfigurable_surfaces,"['reflect', 'intelligent', 'reconfigurable', 'surfaces', 'assisted', 'surface', 'communications', 'moment', 'surfacesassiste', 'scalloping']","['beamforming datum detection intelligent reflect surfaces‐assiste communication deep learning', 'performance intelligent reflect surfaces assisted joint radar communication systems', 'binary intelligent reflect surfaces assisted ofdm systems']",publication
318,17,318_adc_calibration_bit_pipelined,"['adc', 'calibration', 'bit', 'pipelined', 'adcs', 'tiq', 'deterministic', '15', 'algorithmic', 'flash']","['design 12 bit low power pipelined adc tiq technique', 'digital calibration 1.5 bit stage algorithmic adc', 'design 12 bit low power pipelined adc tiq technique']",publication
319,17,319_protein_crd_cognate_novo,"['protein', 'crd', 'cognate', 'novo', 'prediction', 'ligand', 'receptor', 'secondary', 'find', 'ensemble']","['novel ensemble classifier protein secondary structure prediction', 'state accuracy prediction protein secondary structure ensemble model', 'crd de novo design algorithm prediction cognate protein receptor small molecule ligand']",publication
320,17,320_underwater_enhancement_nyquist_retinex,"['underwater', 'enhancement', 'nyquist', 'retinex', 'fusion', 'image', 'reversea', 'lit', 'polymage', 'dehazer']","['channel prior base retinex model underwater image enhancement', 'wavelet integrated framework large scale underwater image enhancement', 'underwater image enhancement algorithm advanced fusion']",publication
321,17,321_pothole_humps_ritu_guwahati,"['pothole', 'humps', 'ritu', 'guwahati', 'potholes', 'bump', 'priyadarshini', 'roadway', 'kuthyar', 'rasika']","['real time pothole detection machine learning edge computing', 'sensor based pothole detection system', 'detection real time pothole system edge detection']",publication
322,17,322_mixture_sphere_initial_melting,"['mixture', 'sphere', 'initial', 'melting', 'rod', 'liquid', 'solid', 'binary', 'polycrystalline', 'experiment']","['inhomogeneous phase separation kinetic liquid binary mixture sensitivity initial local composition', 'stage phase separation kinetic model liquid binary mixture computational study', 'initial stage sinter polycrystalline sphere model experiment']",publication
323,17,323_tfet_biosensor_fet_biosensing,"['tfet', 'biosensor', 'fet', 'biosensing', 'inp', 'gate', 'dielectric', 'genomic', 'vtfet', 'tunnel']","['design analysis inp gin surround gate tfet high sensitivity biosensing application', 'al2o3 zro2 dual dielectric gr cnt nanoribbon vertical tunnel fet base biosensor genomic classification protein detection sar cov-2', 'surface potential analysis dual material gate silicon base ferroelectric tfet biosensing application']",publication
324,17,324_parking_billing_shopping_rfid,"['parking', 'billing', 'shopping', 'rfid', 'automated', 'mart', 'opti', 'smart', 'trolley', 'firebase']","['smart parking detection system iot', 'automation billing system smart parking vehicles institution', 'smart parking automated billing system']",publication
325,17,325_jet_supersonic_crossflow_sound,"['jet', 'supersonic', 'crossflow', 'sound', 'nozzle', 'subsonic', 'twin', 'radiate', 'radiation', 'turbulent']","['elevated liquid jet injection supersonic crossflow', 'liquid jet injection supersonic crossflow self induce jet oscillation effect', 'liquid jet interaction supersonic crossflow']",publication
326,17,326_drug_discovery_medicine_therapeutic,"['drug', 'discovery', 'medicine', 'therapeutic', 'screening', 'nod', 'qbd', 'drastic', 'developmentprocess', 'biopharmaceutical']","['virtual tools screening designs drug discovery new drug development', 'computational drug discovery design', 'role advanced computing drug discovery process']",publication
327,17,327_label_unlabeled_labels_bipolar,"['label', 'unlabeled', 'labels', 'bipolar', 'noisy', 'multilabel', 'growbit', 'concatenated', 'labelled', 'steal']","['adaptive sample selection robust learning label noise', 'multi layer stacked ensemble method feature reduction technique multi label classification', 'multi label learning extended multi tier stack ensemble method label correlate feature subset augmentation']",publication
328,16,328_water_irrigation_distribution_digitalization,"['water', 'irrigation', 'distribution', 'digitalization', 'modularity', 'intermittent', 'urban', 'singapore', 'dma', 'gradually']","['compare digitalization urban water process service singapore bengaluru', 'fuzzy membership base weighted modularity maximization approach sectorization water distribution network dynamic district metered areas', 'graphic operation terminal incorporate experimental preschedule auto configurable centralized rational water distribution system water practice technology 2025 wpt2025074 doi 07 2025']",publication
329,16,329_casting_stir_b4c_6061,"['casting', 'stir', 'b4c', '6061', 'sic', 'aa7050', 'stirring', 'al7075', 'cast', 'hardening']","['investigation mechanical properties al6061 sic b4c composites produce stir casting method', 'study mechanical property aluminium 6061 sic composite single double stir casting process', 'study mechanical property aluminium 6061 sic composite single double stir casting process']",publication
330,16,330_fatigue_dwell_imi_834,"['fatigue', 'dwell', 'imi', '834', 'bainitic', 'steel', 'microcrack', 'martensitic', 'ultrafine', 'alpha']","['effect thermomechanical processing dwell fatigue behaviour near alpha titanium alloy imi 834', 'microcrack formation normal dwell fatigue imi 834', 'normal dwell fatigue behavior near alpha titanium alloy imi 834']",publication
331,16,331_radon_radionuclide_uranium_kaliprasad,"['radon', 'radionuclide', 'uranium', 'kaliprasad', 'karnataka', 'exhalation', 'vicinity', 'district', 'chikkaballapur', 'granitic']","['prakash kaliprasad c.s. narayana y. distribution 210po 210pb radionuclide dependence physicochemical parameter soil madikeri taluk coorg district karnataka india radioanal nucl chem 321 1081–1091 2019 wos journal author prakash kaliprasad c.s.', 'assessment radon thoron exhalation soils dissolved radon ground water vicinity elevated granitic hill chikkaballapur district karnataka india c. g. poojitha b. k. sahoo k. e. ganesh t. s. pranesha b. k. sapra radiation protection dosimetry 2020 pp 1–8 doi', 'assessment radon thoron exhalation soils dissolved radon ground water vicinity elevated granitic hill chikkaballapur district karnataka india c. g. poojitha b. k. sahoo k. e. ganesh t. s. pranesha b. k. sapra radiation protection dosimetry 2020 pp 1–8']",publication
332,16,332_fake_news_spam_job,"['fake', 'news', 'spam', 'job', '146', 'detroll', '948', 'trolls', 'aminta', 'genuine']","['analysis fake news detection graph neural network gnn deep learning', 'performance comparison machine learn classifier fake news detection', 'hybrid approach deep fake detection deep learning algorithm']",publication
333,16,333_heuristic_meta_hybridise_cluster,"['heuristic', 'meta', 'hybridise', 'cluster', 'mutation', 'trait', 'alliance', 'optimisation', 'metaheuristic', 'genetic']","['cluster modified mutation strategy differential evolution publish pertanika journal science technology vol 28 2020 issn 0128 7680 issn 2231 8526', 'build hybridise meta heuristic optimisation algorithm efficient cluster analysis', 'build hybridise meta heuristic optimisation algorithm efficient cluster analysis']",publication
334,16,334_polyaniline_nanocomposite_electrical_magnetoresistance,"['polyaniline', 'nanocomposite', 'electrical', 'magnetoresistance', 'nanotube', 'functionalization', 'conductivity', 'pva', 'sulfide', 'taconic']","['explore charge transport mechanism electrical conductivity dielectric property polyaniline tin sulfide nanocomposite polymer composites 2025 1–12', 'explore charge transport mechanism electrical conductivity dielectric property polyaniline tin sulfide nanocomposite', 'influence chemical functionalization carbon nanotube low temperature ac conductivity polyaniline composite']",publication
335,16,335_forensic_forensics_digital_validity,"['forensic', 'forensics', 'digital', 'validity', 'hash', 'tools', 'evidence', 'acquisition', 'ease', 'cloudaw']","['future ai drive digital forensics', 'digital forensics investigation cloud(aw', 'explore digital mobile forensics comprehensive survey security countermeasures proactive forensic approaches']",publication
336,16,336_photon_entangled_entangle_optics,"['photon', 'entangled', 'entangle', 'optics', 'illumination', 'intense', 'pair', 'quantum', 'polarization', 'collinear']","['pump intensity scaling photon absorption photon statistics entangled photon fields', 'quantum illumination polarization entangle photon pair enhance object detection', 'dimensional electronic spectroscopy intense entangled photon beam']",publication
337,16,337_slope_cooling_al15mg_si45si,"['slope', 'cooling', 'al15mg', 'si45si', 'slurry', 'a356', 'rheocast', 'rheoprocessing', 'a380', 'al7si03mg']","['effect melt treatment microstructure evolution coarsening mechanism a356 al alloy cooling slope rheoprocessing', 'microstructural morphology mechanical properties cooling slope rheocast a380 al alloy', 'microstructure evolution cooling slope rheoprocessing novel al-15mg si-4.5si composite']",publication
338,16,338_islanding_phasor_generator_inverters,"['islanding', 'phasor', 'generator', 'inverters', 'interfaced', 'forming', 'tie', 'srf', 'grid', 'pll']","['generalized framework state feedback base islanding detection distributed generator', 'design tuning state feedback base islanding detection distributed generator', 'design tuning state feedback base islanding detection distributed generator']",publication
339,15,339_compression_lossless_petabyte_dpc,"['compression', 'lossless', 'petabyte', 'dpc', 'dfa', 'lzw', 'llm', 'bandwidth', 'ts', 'goodness']","['lossless compression technique low bandwidth io ts', 'optimal lossless data compression methodology', 'lossless compression technique low bandwidth network']",publication
340,15,340_niobate_lithium_birefringence_waveguides,"['niobate', 'lithium', 'birefringence', 'waveguides', 'multimode', 'reflection', 'waveguide', 'insulator', 'demultiplexer', 'internal']","['parametric analysis comparative study multimode waveguide lithium niobate insulator silicon insulator platform', 'total internal reflection interface lithium niobate crystal', 'birefringence management hybrid lithium niobate insulator waveguides']",publication
341,15,341_mesh_backhaul_wifi_interference,"['mesh', 'backhaul', 'wifi', 'interference', 'wireless', 'multicast', 'routing', 'pdscm', 'globa', 'informant']","['cluster algorithm mitigate intra inter cell interference backhaul wireless mesh networks', 'channel allocation scheme mitigate interference backhaul wireless mesh networks', 'interference aware routing backhaul wireless mesh networks']",publication
342,15,342_poly_polyvinylpyrrolidone_nitroaniline_vinylidene,"['poly', 'polyvinylpyrrolidone', 'nitroaniline', 'vinylidene', 'ethyl2', 'oxazolinepolyvinylpyrrolidone', 'dielectric', 'press', 'electrical', 'antimicrobial']","['polymer composite poly vinylidene fluoride methyl- nitroaniline hot press technique structural optical electrical property', 'polymer composite poly vinylidene fluoride)—2 methyl-4 nitroaniline hot press technique structural optical electrical property', 'polymer composite poly vinylidene fluoride methyl- nitroaniline hot press technique structural optical electrical property']",publication
343,15,343_cyber_physical_industrial_automation,"['cyber', 'physical', 'industrial', 'automation', 'polling', 'aiot', 'k8', 'classified', 'ckmi', 'counteracting']","['security perspective analysis industrial cyber physical systems cps decade wide survey', 'cyber physical system advances applications cyber security', 'secure energy efficient cyber physical system framework generation industrial automation']",publication
344,15,344_equalizer_cell_packs_balancing,"['equalizer', 'cell', 'packs', 'balancing', 'battery', 'voltage', 'switch', 'count', 'equalization', 'active']","['modular fast cell cell battery voltage equalizer', 'low frequency selection switch based cell cell battery voltage equalizer reduced switch count', 'selection switch based cell cell battery voltage equalizer reduced switch count']",publication
345,15,345_swirling_vortex_precessing_jet,"['swirling', 'vortex', 'precessing', 'jet', 'swirl', 'nozzle', 'wavemaker', 'centerbody', 'transversely', 'intermittency']","['suppression intermittency precessing vortex core oscillations swirl nozzle', 'impact centerbody unsteady flow dynamics swirl nozzle intermittency precessing vortex core oscillations', 'weakly nonlinear analysis precessing vortex core oscillation variable swirl turbulent round jet']",publication
346,15,346_intrusion_singapore_kalnoor_gauri,"['intrusion', 'singapore', 'kalnoor', 'gauri', 'lecture', 'markov', 'notes', 'springer', 'vacation', 'bvs']","['framework markov bayes model intrusion detection wireless sensor network icdsmla 2020 lecture notes electrical engineering vol 783 springer singapore', 'model base system intrusion detection novel technique hide markov bayesian wireless sensor network information communication technology competitive strategies ictcs 2020 lecture notes networks systems vol 191 springer singapore', 'intrusion detection system pattern matching techniques wireless sensor networks innovations computer science engineering lecture notes networks systems vol 32 springer singapore author gauri kalnoor jayashree agarkhed']",publication
347,15,347_license_helmet_plate_rider,"['license', 'helmet', 'plate', 'rider', 'number', 'automatic', 'bike', 'ride', 'surveillance', 'multiwavelet']","['retract machine learn base surveillance system detection bike rider helmet triple ride', 'machine learn base surveillance system detection bike rider helmet triple ride', 'automatic license plate recognition bikers helmet']",publication
348,15,348_integral_equation_solver_tridiagonal,"['integral', 'equation', 'solver', 'tridiagonal', 'fast', 'electrodynamic', 'regularized', 'schur', 'electric', 'solution']","['schur decomposition fast direct solver volume surface integral equation', 'antenna array analysis fast volume surface integral equation', 'multi level power series solution large surface volume electric field integral equation']",publication
349,15,349_category_cohomology_entwined_comodule,"['category', 'cohomology', 'entwined', 'comodule', 'module', 'grothendieck', 'contramodule', 'galois', 'hopf', 'measuring']","['comodule theory grothendieck category relative hopf object', 'category module comodule contramodule representation', 'entwined module linear category galois extension']",publication
350,15,350_phased_array_beamforming_aperiodic,"['phased', 'array', 'beamforming', 'aperiodic', 'spaced', 'rounding', 'arrays', 'scan', 'quantized', 'board']","['composite axis scan method active phased array', 'performance evaluation beamforming techniques phased array antennas', 'wide scan wideband antenna array design phased array application band']",publication
351,15,351_wavelet_iir_haar_quadrature,"['wavelet', 'iir', 'haar', 'quadrature', 'vol11', '22489622', 'ijera', 'kalavakkam', 'ssn', 'wispnet']","['fir filter design wavelet coefficients 4th international conference wireless communications signal processing networking wispnet -2019 ssn college engineering kalavakkam tamilnadu 21- 23 march', 'wavelet design learning framework', 'learning approach wavelet design']",publication
352,15,352_nucleic_care_point_amplification,"['nucleic', 'care', 'point', 'amplification', 'urine', 'diagnostic', 'tuberculosis', 'acid', 'adsorbents', 'recombinase']","['nucleic acid quantification amplicon yield recombinase polymerase amplification', 'nucleic acid quantification amplicon yield recombinase polymerase amplification', 'paper base nucleic acid sample preparation point care diagnostic']",publication
353,14,353_systolic_array_approximate_error,"['systolic', 'array', 'approximate', 'error', 'diluted', 'inexact', 'arrays', 'architecture', 'stationary', 'balanced']","['meta heuristic optimization designing error diluted weight stationary approximate systolic array architecture', 'performance aware design approximate integrated mac factor systolic array accelerators', 'integrated mac base systolic arrays design performance evaluation']",publication
354,14,354_hate_speech_offensive_hasoc,"['hate', 'speech', 'offensive', 'hasoc', 'multitarget', 'aryan', 'subtrack', 'conversational', 'english', 'fire']","['hate speech recognition machine learning', 'hate speech detection deep learning model', 'overview hasoc subtrack fire 2021 hate speech offensive content identification english indo aryan languages conversational hate speech']",publication
